ホテルID,ホテル名,部屋番号,表示順,CTI連携キー,鍵開けURL,鍵開けCH番号
000000312,Hotel?STAY?FOREST?土浦,303　C スタンダード,11,3585303,,
000000312,Hotel?STAY?FOREST?土浦,305　D デラックス,12,3585305,,
000000312,Hotel?STAY?FOREST?土浦,306　D デラックス,13,3585306,,
000000312,Hotel?STAY?FOREST?土浦,307　C スタンダード,14,3585307,,
000000312,Hotel?STAY?FOREST?土浦,308　B エコノミー,15,3585308,,
000000312,Hotel?STAY?FOREST?土浦,310　C スタンダード,16,3585310,,
000000312,Hotel?STAY?FOREST?土浦,401　B エコノミー,17,3585401,,
000000312,Hotel?STAY?FOREST?土浦,402　A エコノミー,18,3585402,,
000000312,Hotel?STAY?FOREST?土浦,403　C スタンダード,19,3585403,,
000000312,Hotel?STAY?FOREST?土浦,405　D デラックス,20,3585405,,
000000312,Hotel?STAY?FOREST?土浦,406　D デラックス,21,3585406,,
000000312,Hotel?STAY?FOREST?土浦,407　C スタンダード,22,3585407,,
000000312,Hotel?STAY?FOREST?土浦,408　B エコノミー,23,3585408,,
000000312,Hotel?STAY?FOREST?土浦,410　C スタンダード,24,3585410,,
000000312,Hotel?STAY?FOREST?土浦,501　S デラックス,25,3585501,,
000000312,Hotel?STAY?FOREST?土浦,502　S デラックス,26,3585502,,
000000312,Hotel?STAY?FOREST?土浦,503　S デラックス,27,3585503,,
000000312,Hotel?STAY?FOREST?土浦,505　E デラックス,28,3585505,,
000000312,Hotel?STAY?FOREST?土浦,506　E デラックス,29,3585506,,
000000312,Hotel?STAY?FOREST?土浦,507　S デラックス,30,3585507,,
000000313,HOTEL TIARA LUX,201　B　カラオケDAM,1,3705201,,
000000313,HOTEL TIARA LUX,202　C　ダーツLIVE,2,3705202,,
000000313,HOTEL TIARA LUX,203　B　カラオケJOYSOUND,3,3705203,,
000000313,HOTEL TIARA LUX,205　D,4,3705205,,
000000313,HOTEL TIARA LUX,206　A　BOSEサウンドバー,5,3705206,,
000000313,HOTEL TIARA LUX,207　SS　フィンランド式サウナ,6,3705207,,
000000313,HOTEL TIARA LUX,208　SS　フィンランド式サウナ,7,3705208,,
000000313,HOTEL TIARA LUX,301　B　カラオケDAM,8,3705301,,
000000313,HOTEL TIARA LUX,302　C　ダーツLIVE,9,3705302,,
000000313,HOTEL TIARA LUX,303　B　カラオケJOYSOUND,10,3705303,,
000000313,HOTEL TIARA LUX,305　D,11,3705305,,
000000313,HOTEL TIARA LUX,306　A　BOSEサウンドバー,12,3705306,,
000000313,HOTEL TIARA LUX,307　SS　フィンランド式サウナ,13,3705307,,
000000313,HOTEL TIARA LUX,308　S　BOSEサウンドバー,14,3705308,,
000000313,HOTEL TIARA LUX,401　B　カラオケDAM,15,3705401,,
000000313,HOTEL TIARA LUX,402　C　ダーツLIVE,16,3705402,,
000000313,HOTEL TIARA LUX,403　B　カラオケJOYSOUND,17,3705403,,
000000313,HOTEL TIARA LUX,405　D,18,3705405,,
000000313,HOTEL TIARA LUX,406　A　BOSEサウンドバー,19,3705406,,
000000313,HOTEL TIARA LUX,407　SS　フィンランド式サウナ,20,3705407,,
000000313,HOTEL TIARA LUX,408　S　BOSEサウンドバー,21,3705408,,
000000317,HOTEL Beni,201,1,,,
000000317,HOTEL Beni,202,2,,,
000000317,HOTEL Beni,203,3,,,
000000317,HOTEL Beni,204,4,,,
000000317,HOTEL Beni,205,5,,,
000000317,HOTEL Beni,206,6,,,
000000317,HOTEL Beni,207,7,,,
000000317,HOTEL Beni,208,8,,,
000000317,HOTEL Beni,209,9,,,
000000317,HOTEL Beni,210,10,,,
000000401,チャーミーズ,201,1,3645201,,
000000401,チャーミーズ,202,2,3645202,,
000000401,チャーミーズ,203,3,3645203,,
000000401,チャーミーズ,205,4,3645205,,
000000401,チャーミーズ,206,5,3645206,,
000000401,チャーミーズ,207,6,3645207,,
000000401,チャーミーズ,208,7,3645208,,
000000401,チャーミーズ,301,8,3645301,,
000000401,チャーミーズ,302,9,3645302,,
000000401,チャーミーズ,303,10,3645303,,
000000401,チャーミーズ,305,11,3645305,,
000000401,チャーミーズ,306,12,3645306,,
000000401,チャーミーズ,307,13,3645307,,
000000401,チャーミーズ,308,14,3645308,,
000000401,チャーミーズ,401,15,3645401,,
000000401,チャーミーズ,402,16,3645402,,
000000401,チャーミーズ,403,17,3645403,,
000000401,チャーミーズ,405,18,3645405,,
000000401,チャーミーズ,406,19,3645406,,
000000401,チャーミーズ,407,20,3645407,,
000000401,チャーミーズ,408,21,3645408,,
000000401,チャーミーズ,999,22,,,
1000,ホテル オーダー,101,1,,,
1000,ホテル オーダー,201 TEST,2,,,
1000,ホテル オーダー,301　喫煙ルーム,3,,,
999999994,ホテル展示会,997,1,,,
999999999,テストホテル,999,1,,,CH
